,fit_time,score_time,test_accuracy,test_f1_macro
count,10.0,10.0,10.0,10.0
mean,25.74087564945221,8.96634533405304,0.9298989458259092,0.9289543897479072
std,6.070780470869296,2.111641285923169,0.00796397597540128,0.008236575761353145
min,14.134052515029907,4.978725433349609,0.919,0.9178456786415223
25%,27.856679499149323,9.663167178630829,0.9244017904286468,0.9233792658837454
50%,28.63709306716919,9.738484740257263,0.929000929000929,0.9278388607077321
75%,28.764003038406372,10.192278802394867,0.9356159278968044,0.9345977627643824
max,29.12428879737854,10.329917192459106,0.9429429429429429,0.9426521361204042
