,fit_time,score_time,test_accuracy,test_f1_macro
count,5.0,5.0,5.0,5.0
mean,322.38240070343016,284.31157817840574,0.9412168303538815,0.9404892161481563
std,3.050527110582101,1.7177565859574642,0.0014187039954919047,0.0014104188004429958
min,317.50651001930237,282.345027923584,0.9396767205465756,0.9389883888725933
25%,321.61163449287415,282.8889653682709,0.9399166666666666,0.9392081036050349
50%,323.28958082199097,284.5222227573395,0.94152436484798,0.9407355566881552
75%,324.1196138858795,285.26218938827515,0.9418972990996999,0.9411292907686114
max,325.3846642971039,286.5394854545593,0.9430691006084855,0.9423847408063862
