,fit_time,score_time,test_accuracy,test_f1_macro
0,45.6573703289032,12.735955953598022,0.9302788844621513,0.929290088008849
1,45.195658922195435,12.943402767181396,0.9432270916334662,0.9425080373133454
2,45.333290815353394,13.08402705192566,0.951048951048951,0.9501950738703314
3,44.87850737571716,13.405169248580933,0.9330669330669331,0.9318571965324212
4,43.49022078514099,13.121923685073853,0.928,0.9270876719391422
5,44.19832706451416,13.60363507270813,0.933933933933934,0.9332148841685145
6,44.73987674713135,13.455034971237183,0.9429429429429429,0.9428600594826777
7,44.07266187667847,12.879573106765747,0.9369369369369369,0.9354835579466803
8,19.577161073684692,6.4717323780059814,0.9368104312938816,0.9359127013126136
9,19.24006152153015,6.508638143539429,0.927710843373494,0.9259921607870357
