,fit_time,score_time,test_accuracy,test_f1_macro
count,10.0,10.0,10.0,10.0
mean,26.156289529800414,9.157124280929565,0.9364914063111478,0.935575930233648
std,6.201341908246086,2.104662495614891,0.009023260923838382,0.00929685868570073
min,14.335835218429565,5.1332690715789795,0.919,0.9174669166734717
25%,28.620148301124573,9.947914481163025,0.934265191486307,0.9330931987855315
50%,28.862753987312317,10.120452404022217,0.9373741846159098,0.9362859427962786
75%,29.23027592897415,10.168075323104858,0.9394704394704395,0.9393139769376957
max,29.78454303741455,10.423142671585083,0.951048951048951,0.9503959446275054
