,fit_time,score_time,test_accuracy,test_f1_macro
0,28.77422547340393,9.776365995407104,0.9243027888446215,0.9234413527429002
1,28.733335733413696,10.329917192459106,0.9312749003984063,0.9301882320570867
2,29.12428879737854,9.700603485107422,0.9370629370629371,0.936067606333481
3,28.604679822921753,9.653692483901978,0.9280719280719281,0.9269629009717291
4,27.607346057891846,10.063595533370972,0.919,0.9178456786415223
5,28.79816174507141,9.691591262817383,0.9429429429429429,0.9426521361204042
6,28.623629570007324,10.236169576644897,0.93993993993994,0.9396114392238146
7,28.650556564331055,10.235173225402832,0.92992992992993,0.9287148204437352
8,14.358480215072632,4.997619152069092,0.921765295887663,0.9207011606803736
9,14.134052515029907,4.978725433349609,0.9246987951807228,0.9233585702640271
