,fit_time,score_time,test_accuracy,test_f1_macro
count,10.0,10.0,10.0,10.0
mean,28.45765655040741,8.709463739395142,0.927999536829961,0.9269892489732141
std,7.584885009175939,2.0368357495889553,0.006690544132224394,0.006990736556034773
min,14.026736497879028,4.840673208236694,0.917,0.9156495702669533
25%,31.326114773750305,9.225617468357086,0.9239244126802719,0.9229948036360793
50%,31.970640301704407,9.492653965950012,0.9276783972999112,0.9264473402799827
75%,32.15838569402695,9.912279307842255,0.9327831827831827,0.931603862161651
max,32.74706482887268,10.039191484451294,0.938938938938939,0.9383602455551492
