,fit_time,score_time,test_accuracy,test_f1_macro
count,10.0,10.0,10.0,10.0
mean,39.6383136510849,11.820909237861633,0.9363956948692692,0.9354401431361611
std,10.681574783553268,2.822497947260125,0.007492128717459292,0.007728619764722864
min,19.24006152153015,6.4717323780059814,0.927710843373494,0.9259921607870357
25%,43.63583105802536,12.771860241889954,0.9309758966133468,0.9299318651397421
50%,44.469101905822754,13.013714909553528,0.9353721826139079,0.9343492210575974
75%,45.11637103557587,13.334357857704163,0.9414414414414414,0.9408592033131624
max,45.6573703289032,13.60363507270813,0.951048951048951,0.9501950738703314
