,fit_time,score_time,test_accuracy,test_f1_macro
count,5.0,5.0,5.0,5.0
mean,434.4885006904602,1327.2777260303496,0.9331838116427408,0.9323117213318254
std,76.19845596978483,631.649433063564,0.002753531218492769,0.002816974868512681
min,298.6303551197052,197.35160994529724,0.93075,0.9297693951349393
25%,458.8693571090698,1607.8316340446472,0.9307788421491046,0.9298007641681408
50%,467.7077121734619,1609.0448591709137,0.9329278453591068,0.9321758597773975
75%,471.7099862098694,1610.9703011512756,0.9340613537845949,0.9332493401940644
max,475.5250928401947,1611.1902258396149,0.937401016920897,0.9365632473845855
