,fit_time,score_time,test_accuracy,test_f1_macro
count,5.0,5.0,5.0,5.0
mean,1499.1918446063996,1300.0548679828644,0.9278672945851545,0.9269271768973548
std,168.96939520977665,469.911516925497,0.003127495190721549,0.0031583225280363138
min,1420.775111913681,459.4554400444031,0.9245314452311537,0.923434357146186
25%,1422.8084032535553,1507.9477808475494,0.9248333333333333,0.9239752830732432
50%,1423.3135039806366,1510.0318539142609,0.928178636893851,0.9272885366270133
75%,1427.6418287754059,1511.3439300060272,0.9304826206551637,0.929549115841373
max,1801.4203751087189,1511.4953351020813,0.9313104368122708,0.9303885917989587
