,fit_time,score_time,test_accuracy,test_f1_macro
count,5.0,5.0,5.0,5.0
mean,2699.0986757278442,1438.9300394058228,0.8945504213182719,0.8932124640964144
std,8.011382559223284,2.833864611979267,0.004042694581144555,0.0040265383661039576
min,2690.6372842788696,1435.0626683235168,0.8881666666666667,0.8869020651935665
25%,2693.867204427719,1438.0084071159363,0.8930445647646814,0.8916203080101669
50%,2695.7005965709686,1438.3849124908447,0.8962672887852025,0.8948768169295427
75%,2707.3539094924927,1440.6501216888428,0.8972157385795265,0.8959653028938614
max,2707.934383869171,1442.5440874099731,0.8980578477952822,0.896697827454935
