,fit_time,score_time,test_accuracy,test_f1_macro
count,5.0,5.0,5.0,5.0
mean,452.1692090511322,492.54965443611144,0.9406336038864269,0.9398430700620626
std,84.3538691404562,139.30698145441536,0.0012582699177513875,0.0013055807880783877
min,301.34616208076477,428.46936893463135,0.9390934844192634,0.938348892619338
25%,485.9968190193176,429.29747009277344,0.9397750937109538,0.9388000734787341
50%,488.9215581417084,431.26002311706543,0.9405,0.9397399470115184
75%,491.98211097717285,431.98486590385437,0.9418972990996999,0.9411354878979148
max,492.5993950366974,741.7365441322327,0.9419021422022172,0.9411909493028082
