,fit_time,score_time,test_accuracy,test_f1_macro
count,5.0,5.0,5.0,5.0
mean,391.40726079940794,341.30068197250364,0.9418170220379369,0.9410244463564184
std,3.510567846867345,1.1645998602735361,0.0017276233681248346,0.0017757152744852893
min,385.609135389328,339.9814281463623,0.9403333333333334,0.9394819952907166
25%,390.94324135780334,340.12271761894226,0.9405247813411078,0.9396416719023856
50%,392.25810050964355,341.7541115283966,0.9408431928011998,0.9401108567337655
75%,393.89185428619385,342.2838056087494,0.9434811603867956,0.9427003979603196
max,394.33397245407104,342.36134696006775,0.9439026423272485,0.9431873098949046
