,fit_time,score_time,test_accuracy,test_f1_macro
count,5.0,5.0,5.0,5.0
mean,678.3228125095368,311.80912003517153,0.9232172205998538,0.922222633178599
std,20.627663331663932,2.407729873736501,0.0032979658082229165,0.0033655457729354857
min,642.505206823349,307.7156512737274,0.9204498125780924,0.9192892730883504
25%,679.4558556079865,311.6317217350006,0.9214166666666667,0.9204281442344421
50%,686.5408787727356,312.77133536338806,0.9220963172804533,0.9211757173519933
75%,691.4094533920288,313.4384515285492,0.9233077692564188,0.9223070873134509
max,691.7026679515839,313.48844027519226,0.9288155372176378,0.927912943904758
