,fit_time,score_time,test_accuracy,test_f1_macro
count,5.0,5.0,5.0,5.0
mean,16.702367973327636,12.65019612312317,0.9337001771719002,0.9327189447296623
std,0.19460477218733047,0.10420270004389065,0.004782818118291523,0.0047655464240479355
min,16.459451913833618,12.519554853439331,0.928,0.9270018935826847
25%,16.53653621673584,12.603084087371826,0.9301048427358961,0.9290024698691486
50%,16.773684978485107,12.634535551071167,0.9344344344344344,0.9339342928528073
75%,16.832613945007324,12.695930480957031,0.935871743486974,0.9346951275858559
max,16.909552812576294,12.79787564277649,0.9400898652021967,0.9389609397578156
