,fit_time,score_time,test_accuracy,test_f1_macro
count,5.0,5.0,5.0,5.0
mean,17.431983089447023,13.913718223571777,0.9342968767615435,0.9333113146951326
std,0.28790742465456626,0.09981232240426238,0.004655540341483285,0.004690546960454628
min,17.039819717407227,13.820180654525757,0.9285,0.9275882798995125
25%,17.307618379592896,13.838616847991943,0.9318637274549099,0.9307801558190214
50%,17.4352765083313,13.913415670394897,0.934934934934935,0.9338754139541147
75%,17.56493091583252,13.923389911651611,0.9350973539690465,0.9340775596496214
max,17.812269926071167,14.072988033294678,0.9410883674488267,0.9402351641533937
