,fit_time,score_time,test_accuracy,test_f1_macro
count,5.0,5.0,5.0,5.0
mean,15.377313327789306,11.659772253036499,0.9356949306323903,0.9347490089378789
std,0.17812609229684226,0.09779886098122248,0.006486950224788206,0.0065059994024861695
min,15.186118602752686,11.54235577583313,0.927,0.9259620445400287
25%,15.28568959236145,11.566997766494751,0.9323647294589178,0.9314005823819542
50%,15.334630727767944,11.706297397613525,0.9354354354354354,0.9345498928219665
75%,15.423513412475586,11.729217767715454,0.9400898652021967,0.9393703437139586
max,15.656614303588867,11.753992557525635,0.9435846230654019,0.9424621812314864
