,fit_time,score_time,test_accuracy,test_f1_macro
count,10.0,10.0,10.0,10.0
mean,33.4800042629242,11.651420545578002,0.9363956948692692,0.9354401431361611
std,7.831128630108662,2.7085221729471183,0.007492128717459292,0.007728619764722864
min,18.602815866470337,6.493300437927246,0.927710843373494,0.9259921607870357
25%,36.052915930747986,12.833742558956146,0.9309758966133468,0.9299318651397421
50%,36.869093894958496,12.845937132835388,0.9353721826139079,0.9343492210575974
75%,37.80794441699982,12.942911863327026,0.9414414414414414,0.9408592033131624
max,38.0133957862854,13.162083387374878,0.951048951048951,0.9501950738703314
